Fleet,Year,Source,Discards,Error,Error Stat,Source,Used in Assessment
Bottom Trawl,1981,Pikitch,900.19,54.26%,CV,2019 report,No
Bottom Trawl,1982,Pikitch,1450.74,44.12%,CV,2019 report,No
Bottom Trawl,1983,Pikitch,1847.15,43.91%,CV,2019 report,No
Bottom Trawl,1984,Pikitch,586.36,55.78%,CV,2019 report,No
Bottom Trawl,1985,Pikitch,462.9,49.53%,CV,2019 data,Yes
Bottom Trawl,1986,Pikitch,534.8,53.11%,CV,2019 data,Yes
Bottom Trawl,1987,Pikitch,1035.5,42.57%,CV,2019 data,Yes
Bottom Trawl,1988,Pikitch,1177.09,43.38%,CV,2019 report,No
Bottom Trawl,1989,Pikitch,1217.74,44.70%,CV,2019 report,No
Bottom Trawl,1990,Pikitch,1010.95,51.53%,CV,2019 report,No
Bottom Trawl,1991,Pikitch,1219.25,42.20%,CV,2019 report,No
Bottom Trawl,1992,Pikitch,1217.51,44.62%,CV,2019 report,No
Bottom Trawl,1993,Pikitch,1430.18,46.57%,CV,2019 report,No
Bottom Trawl,1994,Pikitch,1177.71,43.11%,CV,2019 report,No
Bottom Trawl,1995,EDCP,924.8,83.18%,CV,2019 data,Yes
Bottom Trawl,1996,EDCP,3084.5,67.07%,CV,2019 data,Yes
Bottom Trawl,1997,EDCP,3353.3,75.06%,CV,2019 data,Yes
Bottom Trawl,1998,EDCP,42.6,48.80%,CV,2019 data,Yes
Bottom Trawl,1999,EDCP,4.8,68.78%,CV,2019 data,Yes
Bottom Trawl,2002,WCGOP,13.22,43.07%,CV,2019 data,Yes
Bottom Trawl,2003,WCGOP,1.21,81.96%,CV,2019 data,Yes
Bottom Trawl,2004,WCGOP,5.13,75.89%,CV,2019 data,Yes
Bottom Trawl,2005,WCGOP,10.17,44.61%,CV,2019 data,Yes
Bottom Trawl,2006,WCGOP,0.03,135.56%,CV,2019 data,Yes
Bottom Trawl,2007,WCGOP,13.86,61.57%,CV,2019 data,Yes
Bottom Trawl,2008,WCGOP,3.9,44.54%,CV,2019 data,Yes
Bottom Trawl,2009,WCGOP,26.57,33.77%,CV,2019 data,Yes
Bottom Trawl,2010,WCGOP,22.74,54.32%,CV,2019 data,Yes
Bottom Trawl,2011,WCGOP,0.08,5.00%,CV,2019 data,Yes
Bottom Trawl,2012,WCGOP,0.01,5.00%,CV,2019 data,Yes
Bottom Trawl,2013,WCGOP,2.43,5.00%,CV,2019 data,Yes
Bottom Trawl,2014,WCGOP,0.09,5.00%,CV,2019 data,Yes
Bottom Trawl,2015,WCGOP,0.03,5.00%,CV,2019 data,Yes
Bottom Trawl,2016,WCGOP,0.02,5.00%,CV,2019 data,Yes
Bottom Trawl,2017,WCGOP,0.26,5.00%,CV,2019 data,Yes
Bottom Trawl,2018,WCGOP,0.0143,5.00%,CV,2025 data,Yes
