"year","month","fleet","sex","partition","input_n","f8","f10","f12","f14","f16","f18","f20","f22","f24","f26","f28","f30","f32","f34","f36","f38","f40","f42","f44","f46","f48","f50","f52","f54","f56","m8","m10","m12","m14","m16","m18","m20","m22","m24","m26","m28","m30","m32","m34","m36","m38","m40","m42","m44","m46","m48","m50","m52","m54","m56"
1976,7,1,3,2,14,0,0,0,0,0,0,0,0,0,0,0,0,4.08,2.72,7.04,8.08,6.96,3.92,1.92,4.32,2.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.36,6.32,8.4,9.44,14.24,13.28,3.28,0.32,0,0,0,0,0
1977,7,1,3,2,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.62,12.64,11.61,8.26,8.96,6.82,3.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.83,8.45,6.9,17.47,3.97,1.34,0,0,0,0,0
1978,7,1,3,2,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,1.32,7.78,10.36,7.4,9.99,6.8,4.86,1.32,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0.05,3.41,8.07,16.72,10.46,5.41,1.74,1.8,1.22,0,0,0
1979,7,1,3,2,163,0,0,0,0,0,0,0,0,0,0,0,0.26,0.08,0.45,1.57,4.16,11.6,18.52,13.87,10.98,6.53,1.36,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0.9,6.8,11.69,8.33,1.84,0.02,0.44,0.25,0,0,0
1980,7,1,3,2,252,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0.37,0.9,2.29,5.57,14.85,16.43,14.11,4.76,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.1,0.57,2.71,7.41,13,12,3.09,0.57,0.02,0.17,0,0,0
1981,7,1,3,2,309,0,0,0,0,0,0,0,0,0,0,0,0.17,0.9,0.47,2.9,4.85,6.5,10.19,13.32,13.09,6.09,1.65,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.5,1.35,1.29,3.54,7.65,14.07,8.32,2.83,0.04,0.05,0,0,0,0
1982,7,1,3,2,499,0,0,0,0,0,0,0,0,0,0,0.1,0.65,1.62,4.09,3.31,5.18,6.21,6.98,7.76,11.21,6.84,2.39,1.1,0.9,0.01,0,0,0,0,0,0,0,0,0,0,0.08,0.46,2.35,4.64,3.41,7.8,12.03,8.14,2.23,0.4,0.1,0,0,0,0
1983,7,1,3,2,455,0,0,0,0,0,0,0,0,0.04,0.15,0.55,1.25,3.34,5.79,5.09,5.85,6.33,5.85,7.88,7.88,4.83,1.55,0.7,0.38,0.01,0,0,0,0,0,0,0,0,0.04,0.13,0.62,2.42,4.97,5.7,5.43,6.53,9.22,5.82,1.18,0.43,0.03,0,0,0.01,0
1984,7,1,3,2,859,0,0,0,0,0,0,0,0,0,0,0.09,0.88,3.62,7.08,9.51,6.89,4.47,4.09,3.6,4.7,2.87,1.62,0.37,0.02,0,0,0,0,0,0,0,0,0,0,0.01,0.32,1.5,4.49,11.95,9.93,7.36,6.63,5.37,1.9,0.58,0.06,0.08,0,0,0
1985,7,1,3,2,804,0,0,0,0,0,0,0,0,0,0.01,0.16,0.75,2.25,3.64,7.31,10.22,8.28,5.98,4.27,6.35,3.55,1.71,0.37,0.03,0,0,0,0,0,0,0,0,0,0,0.09,0.29,1.21,2.68,6.52,9.04,10.69,7.88,4.8,1.5,0.41,0.01,0,0,0,0
1986,7,1,3,2,629,0,0,0,0,0,0,0,0,0,0.12,0.56,2.1,2.14,3.13,4.46,5.08,8.42,6.84,4.26,4.61,4.57,2.6,1.59,0.41,0,0,0,0,0,0,0,0,0,0.04,0.09,0.7,1.97,3.28,6.47,7.38,13.57,9.68,4.5,0.98,0.4,0.02,0,0,0,0
